Formal label,Short label,Function/type,Hierarchical level,Relation: contains,Short explanation,Open Music Theory Link,Theoretical provenance
unit,x,Function,,,"A generic designator of any form group, irrespective of the hierarchical level.",,
movement,mvt,Function,,,"Closed part of a sonata, symphony, concerto, or other musical piece",,
part,part,Function,,,It designates a formal unit below the movement level and  is composed of sections.,,
sonata form,sonata,Type,Movement level,"Exposition, Development, Recapitulation","Blending binary and ternary components, it involves a modulation and cadential confirmation of a secondary key (first part)  as well as a transposition section (recapitulated 2nd theme in the tonic key; second part)",https://openmusictheory.github.io/SonataTheory-intro.html,
rondo form,rondo,Type,Movement level,"Refrain, Couplet","Alternation of refrain (invariably in the tonic key, or changing keys) and contrasting couplets",https://openmusictheory.github.io/rondo.html,
ritornello form,ritornello,Type,Movement level,"Ritornello, episode","Six part structure: 1) opening ritornello for orchestra, 2) a solo section, 3) subordinate-key ritornello for orchestra, 4) solo section functioning as recapitulation, 6) closing ritornello for orchestra interrupted by solo cadenza ",,Caplin
unary form,unary,Type,Movement level,Section,"Structure without large-scale thematic repetition, potentially subdivided by caesurae and/or contrasting sections",,
simple_binary,,Type,Movement level,Section,AB or AA’,,
simple_binary.balanced,,Type,Movement level,Section,"AB or AA’, with rhyming endings.",,
rounded_binary,,Type,Movement level,Section,"ABA’ structure, grouped such that a bipartite design emerges (also known as Minuet form).",,
ternary,,Type,Movement level,Section,"Tripartite structure; if [A][BA’], it is referred to as “rounded binary”.",,
ternary.da_capo,,Type,Movement level,Section,ABA; exact repetion of A without repeats.,,
ternary.through_composed,,Type,Movement level,Section,ABC; tripartite structure with no repetitive relationships between the sections involved.,,
sonata form.type1,sonata.type1,Subtype,Movement level,"Exposition, Recapitulation",Sonata form without development section,,
sonata form.type2 ,sonata.type2,Subtype,Movement level,"Exposition, Development",Sonata form with second half merging development and recapitulation (typically lack of double return),,
sonata form.type3,sonata.type3,Subtype,Movement level,"Exposition, Development, Recapitulation","Ternary sonata form (i.e., with main theme recapitulation)",,
sonata form.type4,sonata.type4,Subtype,Movement level,,Rondo-sonata form / sonata-rondo form,,
sonata form.type5,sonata.type5,Subtype,Movement level,"Exposition, Development, Recapitulation",Concerto sonata form,,
section,sec,Function,Section level,,"Generic designator of a larger-scale unit of a formal whole (e.g., exposition, development).",,
1st section,1st sec,Function,,,,,
exposition,exp,Function,Section level,sonata form,Two-part or continous form/type,https://openmusictheory.github.io/SonataTheory-exposition.html,
development section,dev,Function,Section level,sonata form,4 modules: 1) link from exposition; 2) entry zone; 3) central-action zone; 4) retransition,https://openmusictheory.github.io/sonataDevelopment.html,
recapitulation,recap,Function,Section level,sonata form,Essential sonata closure and re-composition,https://openmusictheory.github.io/sonataRecap.html,
coda,coda,Function,Section level,,"Module or section after the recapitulation, framing the movement (as an after-the-end  function)  ",https://openmusictheory.github.io/sonataFramingModules.html,
introduction,intro,Function,Section level,,"Module or section before the exposition, framing the movement (as a before-the-beginning function)",https://openmusictheory.github.io/sonataFramingModules.html,
lead-in,lin,Function,,,Typically short melodic element connecting two phrases or sections,,Caplin
period,pd,Type,Phrase level,"antecedent, consequent","Two-part structure, consisting of an antecendent (HC or IAC) and a consequent (concluded by PAC)",https://elliotthauser.com/openmusictheory/period.html,
sentence,sent,Type,Phrase level,"presentation, continuation","Two-part structure, consisting of a presentation (no cadence) and a continuation (concluded by a half or full cadence). The presentation in turn is made up  of two (less frequently one or three) basic ideas.  ",https://elliotthauser.com/openmusictheory/sentence.html,
hybrid1,hyb1,Type,Phrase level,,Antecedent + continuation,https://elliotthauser.com/openmusictheory/hybridThemes.html,
hybrid2,hyb2,Type,Phrase level,,Antecedent + cadential progression,https://elliotthauser.com/openmusictheory/hybridThemes.html,
hybrid3,hyb3,Type,Phrase level,,compound basic idea + continuation ,https://elliotthauser.com/openmusictheory/hybridThemes.html,
hybrid4,hyb4,Type,Phrase level,,compound basic idea + consequent,https://elliotthauser.com/openmusictheory/hybridThemes.html,
antecedent,ant,Function,Phrase level,"basic idea, contrasting idea","2-bar bi, 2-bar ci, ending with HC or IAC  ",https://elliotthauser.com/openmusictheory/period.html,
consequent,cons,Function,Phrase level,"basic idea, contrasting idea","Following a first thematic phrase, there is a restatement of bi, closing with ci on PAC.",https://elliotthauser.com/openmusictheory/period.html,
basic idea,bi,Function,Subphrase level,,Smallest formal unit of a theme (typically 2 bars in length),none,Caplin
compound basic idea,cbi,Function,Subphrase level,,"Basic idea is enlarged; it consists of two distinct parts, featuring prolongational harmony (rather than ending with a cadence).",,
contrasting idea,ci,Function,Subphrase level,period,Smallest formal unit of a theme (typically 2 bars in length); is in (melodic and/or harmonic) contrast to a preceding basic idea.,,
continuation idea,conti,Function,Subphrase level,,"An idea, different from the basic idea, initiating the continuation phrase of a sentence.",,
fragmentation,frag,Function,Subphrase level,,breaking melodic material and/or formal units into smaller chunks,https://elliotthauser.com/openmusictheory/themeFunctions.html,
cadential idea,cad,Function,Subphrase level,,Realizes a cadential progression at the end of a theme/phrase,https://elliotthauser.com/openmusictheory/themeFunctions.html,
presentation,pres,Function,Subphrase level,"sentence, hybrid theme","First part of sentence, containts two bi’s (rarely one or three bi’s), but does no lead to no cadence.",https://elliotthauser.com/openmusictheory/sentence.html,
continuation,cont,Function,Subphrase level,"sentence, hybrid theme","Second part of sentence, leads to cadence at the end (HC, IAC or PAC), unless the theme is of the dissolving type",https://elliotthauser.com/openmusictheory/sentence.html,
primary theme,pt,Function,Section level,"Sonata form, exposition","Establishes home key, presents primary melodic material, and/or introduces the instrumental apparatus. Also refer",https://elliotthauser.com/openmusictheory/sonataThematicModules.html,
primary theme zone,ptz,Function,Section level,"Sonata form, exposition","Establishes home key, presents primary melodic material, may contain more than one → primary themes",https://elliotthauser.com/openmusictheory/sonataThematicModules.html,
transition,tr,Function,Section level,"Sonata form, exposition","Independent/new material or dissolving (primary based), move towards MC ",,
secondary  theme,st,Function,Section level,,leads to PAC in subordinate key and EEC,https://elliotthauser.com/openmusictheory/sonataThematicModules.html,
secondary theme zone,stz,Function,Section level,,"leads to PAC in subordinate key and EEC, may contain more than one theme",,
closing theme,cls,Function,Section level,,"follows the EEC, new melodic material or primary theme based",https://elliotthauser.com/openmusictheory/sonataThematicModules.html,
first theme,1st,Function,Section level,,"This is the first theme occuring in a theme zone, whether the primary, the secondary or the closing theme zone.",,
second theme,2nd,Function,Section level,,"This is the second theme occuring in a theme zone, whether the primary, the secondary or the closing theme zone.",,
ritornello,rit,Function,,,"type of form, part of concerto form",,
retransition,rtr,Function,Section level,,"More specifically, in the classial style it concerns section between formal cadence and return of a new largeV or I in preparing the repeat of the exposition ",https://elliotthauser.com/openmusictheory/sonataThematicModules.html,
postcadential,pcad,Function,Section level,,"material after the cadential arrival; after PAC → closing section / codetta, after HC → standing on V ; “Anhang” in historical terminology",,
codetta,cdta,Function,Section level,,"closing section, various lenghts (single bar up to a larger phrase) →  post-cadential",,Caplin
after-the-end,ate,Function,,,framing function; follows structural limits of main material,,Caplin
model,mod,Function,,,the initial unit of a sequence,,Caplin
sequence,seq,Type/Function,Phrase level,,repeating the melodic/harmonic material by consistent transposition (either “real” or “tonal”) https://elliotthauser.com/openmusictheory/themeFunctions.html,wiki/vignettes/Sequence.md,
essential expositional closure,eec,Function,Section level,,structural close of exposition,,Hepokoski and Darcy
essential sonata closure,esc,Function,Section level,,structural close of whole sonata,,Hepokoski and Darcy
,,,,,,,
Cadence-related terms,,,,,,,
perfect authentic cadence,PAC,Type,,,"Cadence ending with V-I, with V typically prepared by a predominant function and I supporting a ^1 in the soprano.",,
imperfect authentic cadence,IAC,Type,,,"Cadence ending with V-I, with V typically prepared by a predominant function and I supporting a ^3 in the soprano.",,
half cadence,HC,Type,,,"Cadence ending on V, with V prepared either with a predominant function or a transitory I chord.",,
evaded cadence,EC,Type,,,Cadential pattern in which the expected final tonic chord belongs to the subsequent group (rather than closing the phrase).  ,,
deceptive cadence,DC,Type,,,"Cadential pattern in which the expected final tonic chord is replaced by another sonority (e.g., vi, IV6, or viio65/V).",,
plagal cadence,PC,Type,,,(does not exist in the classical style),,
,,,,,,,
,,,,,,,
,,,,,,,
anhang,ah,,,,,,Koch
answer,ans,,,,,,
